objid,ra,dec,u,g,r,i,z
587727223545069601,322.49170435,12.2405633,16.883572,15.351023,14.622275,14.282806,14.098876
587727223545004396,322.47014142,12.2377874,18.176758,16.893497,16.327122,16.061697,15.909163
587727223545004385,322.45806489,12.23524939,17.310692,15.925076,15.183404,14.870033,14.694505
587727223545004387,322.46032032,12.2352761,17.116549,15.904959,15.734923,15.665139,15.619807
587727223545069611,322.48618908,12.2431366,17.835653,16.610849,16.024702,15.74847,15.610188
587727223545069612,322.50764636,12.24428439,18.638567,16.868637,16.122814,15.824214,15.65945
587727223545004386,322.48059637,12.25141907,17.408474,15.98415,15.333231,15.030075,14.862226
587727223545004388,322.4660338,12.24113587,17.42514,16.080549,15.444411,15.156944,14.996024
587727223545004401,322.44579994,12.23485524,17.686802,17.235498,17.492567,17.710264,17.877462
587727223545004404,322.47302241,12.24303145,18.620701,17.439074,16.901918,16.655497,16.523796
587727223545069607,322.49084667,12.25383728,17.323967,16.083094,15.658835,15.51445,15.387249
587727223545069614,322.48493757,12.24588747,17.972248,16.707869,16.111994,15.841926,15.681255
587727223545069620,322.51610278,12.25088335,17.52475,17.014292,17.20735,17.355686,17.48307
587727223545069621,322.49546014,12.25309026,20.860229,18.635036,17.198847,16.275312,15.749186
587727223545004384,322.46211311,12.24905342,15.781969,14.324656,13.826096,16.575048,13.631509
587727223545004394,322.46454125,12.25160879,20.457275,17.909031,16.536728,15.923465,15.596251
587727223545005499,322.43057346,12.22955257,22.006741,20.728859,20.404751,20.209139,20.077574
587727223545005502,322.43045677,12.23006619,23.076181,21.675194,21.47534,21.218756,22.068899
587727223545005506,322.42960995,12.23034692,23.796366,22.221087,21.667206,21.705091,20.452559
587727223545005508,322.43094849,12.22851748,24.960384,22.524433,22.155012,21.842882,22.139484
587727223545005731,322.45238226,12.24482232,24.478632,21.801998,21.39254,21.295197,21.706976
587727223545005732,322.45247918,12.24359287,22.215849,21.280239,20.864304,20.71282,20.417482
587727223545006963,322.45280573,12.24661334,24.753176,22.529297,21.782019,21.253706,21.846157
587727223545007361,322.47004942,12.25423609,24.667767,23.982317,22.396523,22.99398,21.953552
587727223545069616,322.52344647,12.25275502,17.380297,16.663046,16.847696,17.072489,17.187057
587727223545070536,322.52002401,12.25267142,21.176296,20.051365,19.823856,19.711174,19.55982
587727223545070537,322.51932168,12.25248794,24.537041,22.34516,21.434521,21.394127,21.491327
587727223545071739,322.52668646,12.25212494,26.158686,22.461967,21.861343,21.958708,21.880035
587727223545004393,322.43902732,12.23924015,18.14834,16.757574,16.213366,16.003721,15.901755
587727223545004664,322.4514513,12.25098205,20.455462,19.602798,19.308622,19.142897,19.106924
587727223545004665,322.45374766,12.25158208,20.599413,19.595722,19.344542,19.223116,19.208044
587727223545004666,322.44954574,12.2511327,24.703407,20.720007,19.42271,18.852633,18.644079
587727223545004667,322.45170286,12.25233608,20.879057,20.066391,19.652613,19.525723,19.700565
587727223545004671,322.44824955,12.24991589,21.706484,20.714224,20.385807,20.183088,20.009777
587727223545004673,322.45509255,12.2503327,21.325211,20.581404,20.167484,20.068018,20.031332
587727223545004677,322.44919629,12.25000858,22.889688,21.429159,20.947927,20.782064,20.591066
587727223545004679,322.44894553,12.24938992,22.725435,21.666824,21.11838,21.11973,20.856913
587727223545004683,322.45318052,12.25010326,22.60568,22.075661,21.429163,21.111259,20.987389
587727223545004684,322.45226154,12.25068857,23.28307,22.305164,21.621519,21.680292,21.662832
587727223545005501,322.43014204,12.23156376,22.881466,21.315931,21.011835,20.618414,20.336683
587727223545005503,322.43126366,12.2345146,23.406693,21.848349,21.597771,21.09771,20.943665
587727223545005504,322.43062429,12.23476186,23.672802,22.282948,21.766214,21.639704,21.137758
587727223545005507,322.42879696,12.2320396,24.410034,23.235556,22.17926,21.811001,21.977592
587727223545005509,322.4287547,12.23246659,25.466841,22.989744,22.418486,22.253756,22.687626
587727223545006188,322.43264584,12.23578397,22.123583,21.005785,20.682182,20.408606,20.469063
587727223545006995,322.45642118,12.25362497,22.073704,22.522213,22.651125,22.285173,21.868996
587727223545006996,322.45651676,12.25280715,24.409683,25.021717,24.323231,21.807377,21.331175
587727223545006997,322.45720189,12.25279616,24.854715,23.148851,22.565168,21.775284,21.816284
587727223545069608,322.49871994,12.25960025,17.46711,16.265823,15.947597,15.810651,15.728922
587727223545070299,322.48898779,12.25967277,23.462433,20.669178,19.130844,17.967768,17.367798
587727223545070301,322.48656232,12.26020565,22.234379,22.705957,22.366173,22.048758,21.716105
587727223545070383,322.50255042,12.25831019,20.717783,19.669104,19.339205,19.147552,18.982594
587727223545070384,322.50334582,12.25874102,21.396097,20.511103,20.228519,20.033653,20.100821
587727223545070392,322.50467552,12.26013077,20.987965,20.071461,19.732605,19.563797,19.619032
587727223545071564,322.49445279,12.25995132,25.078419,22.395145,21.535618,21.375559,22.585129
587727223545071686,322.51938428,12.25653364,22.382353,21.851498,21.35457,21.257116,20.942457
587727223545072526,322.517614,12.25712971,25.985083,23.568653,22.643896,23.139547,21.341377
587727223545004390,322.46351838,12.26348076,17.915798,16.529013,16.0156,15.838923,15.764801
587727223545004397,322.4587158,12.26179875,18.282278,17.00621,16.418602,16.148663,15.987526
587727223545004400,322.46379765,12.26173172,18.318264,17.042969,16.539173,16.346563,16.251852
587727223545004402,322.43920539,12.2456192,18.808182,17.423798,16.808708,16.547829,16.39325
587727223545004663,322.45295959,12.25458523,20.043995,19.073229,18.746132,18.591675,18.548895
587727223545004668,322.45158357,12.25274844,21.12023,19.971207,19.78982,19.672522,19.69137
587727223545004670,322.45571699,12.25863294,21.64081,20.540104,20.077534,19.950512,19.847692
587727223545004674,322.45575417,12.25823087,22.647264,20.786209,20.710236,20.533541,21.032423
587727223545004675,322.45616142,12.25956856,21.772478,20.842148,20.55715,20.358215,20.478796
587727223545004676,322.45381615,12.25674451,22.354715,20.921185,20.566031,20.297318,20.223377
587727223545004678,322.45264472,12.25731424,22.776722,21.562952,21.144878,20.948866,21.44734
587727223545004680,322.45210521,12.257093,23.027916,21.88513,21.15765,21.009604,21.010389
587727223545004681,322.45232744,12.25591955,23.158304,21.646229,21.062431,20.931482,20.867395
587727223545004682,322.45486036,12.25781225,22.47168,21.914289,21.275856,20.968042,20.653793
587727223545004685,322.45182263,12.25399957,23.384405,22.088442,21.525181,21.137835,20.763685
587727223545004686,322.45232856,12.25880478,23.869699,22.318268,21.844095,21.766186,21.654984
587727223545004720,322.47288517,12.26639502,20.749847,19.870062,19.593349,19.404121,19.385969
587727223545005409,322.41528606,12.22993777,21.349848,20.274118,19.975853,19.842525,19.923382
587727223545005410,322.41550933,12.23064254,24.2547,22.13135,21.748442,22.057331,21.083651
587727223545005628,322.44325986,12.25353559,22.131136,20.98274,20.65085,20.361034,20.516539
587727223545005629,322.44471912,12.25412614,22.626701,21.552612,21.452925,20.906898,20.5439
587727223545005630,322.44203224,12.25272277,23.578053,21.946217,21.489122,21.124397,20.91412
587727223545005658,322.44542229,12.2501352,20.684042,18.220348,17.207329,16.831039,16.630695
587727223545005659,322.44583293,12.25230183,21.26424,20.370756,20.145779,19.95591,19.852293
587727223545005660,322.44645856,12.25103861,24.305981,22.857203,22.489275,22.631493,20.923079
587727223545005671,322.44797781,12.25686941,19.979113,19.012302,18.645615,18.497087,18.443256
587727223545005673,322.44930423,12.25587439,23.145611,20.985111,20.055866,19.636101,19.43429
587727223545005679,322.44873794,12.25624327,24.20019,22.898626,22.104084,22.537996,22.567984
587727223545005680,322.44647043,12.25612459,26.060877,23.615677,22.481087,22.380577,21.214493
587727223545005916,322.47166348,12.26333203,20.732918,19.770847,19.515909,19.404831,19.255442
587727223545005917,322.47298267,12.262338,21.127407,20.14666,19.860403,19.764399,19.546003
587727223545005918,322.47081067,12.26339153,21.841618,20.703169,20.338905,20.252728,20.269539
587727223545006181,322.42493723,12.23773101,21.754581,21.114901,20.764301,20.528917,20.161156
587727223545006944,322.44796177,12.25248315,22.789301,21.99329,21.747187,21.451809,20.820074
587727223545006945,322.4483557,12.25361155,23.16802,22.266972,21.659081,21.546995,21.373968
587727223545006946,322.44775645,12.25306724,25.521286,22.922167,22.344152,21.807388,21.569151
587727223545007068,322.46694854,12.26289166,26.261267,23.020494,22.921865,22.167139,22.427738
587727223545007122,322.47516898,12.26240762,24.334192,22.617132,22.039648,21.914255,22.302668
587727223545007330,322.43595825,12.24454318,23.925318,23.419905,22.539936,22.34934,21.432304
587727223545069606,322.52915554,12.26077651,17.286074,16.262253,15.553038,15.388621,15.321362
587727223545069609,322.49216683,12.26717681,18.099207,16.573999,15.984838,15.779542,15.672837
587727223545069617,322.50789806,12.26346555,18.310884,17.04524,16.446484,16.155472,15.995677
587727223545070277,322.48373645,12.26525052,20.102434,19.086048,18.718451,18.565168,18.52776
587727223545070278,322.48411098,12.26595477,21.843592,20.47802,20.171911,20.003222,19.925985
587727223545070279,322.48529039,12.26447952,21.749334,20.945055,20.598873,20.318047,20.310133
587727223545070280,322.48434895,12.26330371,21.602724,21.174656,20.760363,20.619307,20.464809
587727223545070282,322.48533073,12.26627248,23.892506,22.323881,21.950481,21.552475,21.638439
587727223545070284,322.48559525,12.26529884,24.668226,24.715538,22.187496,22.017086,22.404228
587727223545070612,322.54304825,12.25492205,20.023647,19.050989,18.575319,18.384129,18.207232
587727223545070613,322.54048782,12.25488737,22.153738,20.760504,20.452028,20.256374,20.382036
587727223545070616,322.54181458,12.2550776,22.112528,21.104752,20.809021,20.624458,20.482456
587727223545070679,322.55037258,12.25300796,21.267494,20.176334,19.930494,19.720745,19.65543
587727223545070680,322.54921879,12.25349415,22.350042,21.390381,21.112185,20.801363,20.98204
587727223545071311,322.48385848,12.26825483,21.895481,21.130758,20.749378,20.539749,20.764692
587727223545071671,322.51611062,12.26407887,24.462193,22.418716,21.769835,21.672714,22.533102
587727223545071777,322.53223038,12.25591914,26.269457,22.500113,21.824974,22.409832,21.616575
587727223545004372,322.40462457,12.22796668,18.049793,16.805771,16.228174,15.935037,15.716231
587727223545004373,322.4028283,12.227052,22.516474,21.148363,20.689829,20.563719,20.294279
587727223545004374,322.40223273,12.22717618,22.448273,21.653877,21.382307,21.13063,20.952696
587727223545004375,322.40293112,12.22784629,23.486891,21.993235,21.603569,21.09931,21.184328
587727223545004395,322.45937739,12.26422827,18.354849,16.865253,16.316092,16.122793,16.032343
587727223545004399,322.42555756,12.24608653,21.013103,18.1327,16.802542,16.26292,15.9542
587727223545004555,322.43375932,12.25653738,20.514643,19.45153,19.150301,18.994738,18.973024
587727223545004556,322.43909041,12.25436923,20.44915,19.596121,19.22529,19.108536,19.079315
587727223545004558,322.43553158,12.25389303,21.025307,19.787092,19.53249,19.399075,19.259857
587727223545004560,322.429869,12.25620555,21.111486,20.140711,19.874937,19.715799,19.769491
587727223545004564,322.4267721,12.25068786,21.407307,20.422611,20.057367,19.952404,19.888372
587727223545004565,322.43166986,12.25739277,21.755518,20.551491,20.196093,20.047235,19.900209
587727223545004566,322.43618559,12.25138219,21.979673,20.652758,20.342352,20.056627,20.018995
587727223545004567,322.43123149,12.25126851,21.697121,20.737547,20.288342,20.165127,20.154522
587727223545004569,322.43375172,12.25245511,21.784811,20.704123,20.306248,20.055149,19.986942
587727223545004572,322.43441316,12.2516208,21.646732,20.946215,20.501688,20.369406,20.091814
587727223545004575,322.43154727,12.24990113,21.862597,21.172501,20.783707,20.497936,20.203711
587727223545004662,322.45305281,12.26086147,19.358109,18.157541,17.639053,17.403299,17.283611
587727223545004669,322.4539815,12.2603804,21.261391,20.208157,19.97773,19.817451,20.142517
587727223545004672,322.45273011,12.26172055,21.968826,20.824959,20.416468,20.170446,20.231571
587727223545004712,322.47406848,12.27120745,17.009598,14.917527,14.139009,17.210478,13.815042
587727223545004713,322.47232973,12.27442082,17.487694,16.573351,16.84684,17.060686,17.25024
587727223545004718,322.47373754,12.2680735,20.77566,19.589325,19.337118,19.20989,19.218508
587727223545004721,322.47266091,12.27032147,21.006111,20.125534,19.838017,20.196239,19.977953
587727223545004728,322.47255464,12.27304847,21.287409,25.122438,20.615948,24.356874,22.817438
587727223545004730,322.47618085,12.27268477,21.772305,20.920561,20.460587,20.322157,20.415943
587727223545005296,322.40082341,12.22522474,19.967556,19.02548,18.735256,18.587502,18.518177
587727223545005297,322.40009624,12.22373118,22.986105,22.019098,21.70904,21.361969,20.934309
587727223545005367,322.40651201,12.23318603,21.88641,21.191141,20.841759,20.657494,20.596027
587727223545005457,322.42327563,12.25105115,23.595041,22.59416,22.061115,21.808138,21.309782
587727223545005602,322.43815794,12.2586994,22.400724,20.323189,19.421242,18.997587,18.728731
587727223545005603,322.43781999,12.2595298,21.683826,20.367411,20.008919,19.82173,19.767485
587727223545005604,322.43745952,12.25908142,23.938602,21.615612,21.356556,20.951672,20.887918
587727223545005605,322.4380097,12.25810741,24.673542,22.222013,21.789183,21.469269,21.315216
587727223545005611,322.44168147,12.2624865,21.328932,20.574345,20.263096,20.089392,19.962378
587727223545005612,322.44352715,12.26233523,24.229473,25.14642,22.37384,20.64864,20.203444
587727223545005614,322.44314333,12.26245113,24.288673,22.306004,21.715517,21.717606,20.953226
587727223545005624,322.44146291,12.25648146,21.050304,18.583265,17.445177,16.962151,16.676384
587727223545005625,322.44035296,12.25635831,21.731192,20.764765,20.461475,20.344036,20.877781
587727223545005631,322.44117936,12.25389846,24.930346,22.71645,21.823019,21.892992,22.47788
587727223545005672,322.44627684,12.2576837,21.261028,20.189646,19.877018,19.69318,19.806479
587727223545005674,322.44857317,12.25851472,21.487741,20.477156,20.201265,19.966518,19.822876
587727223545005675,322.44566615,12.25690586,21.702967,20.58597,20.326372,20.244852,19.889174
587727223545005676,322.44644431,12.25882261,21.980093,20.97613,20.534716,20.414614,20.353865
587727223545005677,322.44735465,12.25841473,23.039305,21.49267,21.169235,20.870396,21.29229
587727223545005699,322.44544611,12.26504697,21.939322,20.761528,20.385473,20.195803,20.190998
587727223545005700,322.44501737,12.26372275,22.701433,21.703268,21.200466,21.04018,20.848803
587727223545005721,322.44982319,12.2660185,20.885569,19.889914,19.605532,19.422899,19.409761
587727223545005722,322.44875028,12.26702411,21.222481,20.399765,20.044516,19.905937,19.915272
587727223545005724,322.45000099,12.26136222,20.708069,19.637772,19.340208,19.212423,19.253649
587727223545005725,322.44744604,12.26288032,25.299162,22.410658,20.935438,19.254038,18.413431
587727223545005726,322.44811358,12.26126429,21.887051,21.075195,20.661945,20.453053,20.573694
587727223545005727,322.44703351,12.2621563,24.224218,22.730059,22.174673,21.91375,22.136381
587727223545005755,322.45358473,12.2638958,20.658924,19.581985,19.339855,19.147438,19.125751
587727223545005756,322.45488051,12.26876108,21.109863,20.126617,19.857944,19.645796,19.618937
587727223545005757,322.45279793,12.26376767,22.713062,21.340963,20.715122,20.61039,20.97827
587727223545005758,322.45466992,12.26717738,23.904488,22.123072,21.470156,21.275579,21.648514
587727223545005759,322.452554,12.2665374,23.892958,22.234425,21.809298,21.604061,23.24334
587727223545005761,322.45442335,12.26447466,23.667843,22.915911,23.283716,23.3295,21.956629
587727223545005762,322.4550318,12.26428963,23.212456,23.121355,22.294989,22.216082,21.670715
587727223545005763,322.45453948,12.2661812,22.838266,23.062752,22.432211,22.407764,21.897083
587727223545005832,322.45842492,12.27048444,22.655542,22.082296,21.572985,21.419104,21.019011
587727223545006179,322.42006854,12.24281164,22.188736,21.120165,20.714231,20.739536,20.426626
587727223545006180,322.41995912,12.24336174,22.023195,21.413956,21.063313,20.80518,20.878241
587727223545006665,322.40348169,12.23023651,23.237665,21.755617,21.283302,21.096069,20.51684
587727223545006684,322.40635994,12.23093148,22.097225,21.12393,20.634613,20.437515,20.696846
587727223545006801,322.42252397,12.24366208,23.546478,22.856672,22.01631,22.074284,22.033108
587727223545006832,322.42654234,12.25373882,22.999842,21.040812,20.433424,20.255802,19.882969
587727223545006895,322.43632445,12.25780135,23.614019,22.347277,21.761877,21.402138,21.117813
587727223545006938,322.44433235,12.26048436,22.184925,21.176472,20.589449,20.354271,20.206987
587727223545006939,322.44542074,12.26056628,23.08868,22.175724,21.713499,21.551594,22.522505
587727223545006956,322.44773199,12.26493442,24.187084,22.365791,21.963205,21.821671,21.682419
587727223545007322,322.42509652,12.24859607,25.214098,23.768082,22.2675,22.327553,21.536495
587727223545007347,322.45009274,12.26343824,24.235149,23.495422,22.367746,22.498264,21.614922
587727223545007460,322.43028399,12.25441661,24.86606,25.210402,22.818151,21.958019,21.173206
